t_sec,x_m,y_m,vx_mps,vy_mps
1.35844,0.4337000240548079,0.390265835407593,-0.016249499865045314,-0.164513844808567
1.36844,0.43353752905615744,0.38862069695950735,-0.016249499865042538,-0.16451384480856424
1.37844,0.43337503405750705,0.38697555851142174,-0.016249499865042538,-0.16451384480856424
1.3884400000000001,0.4332125390588566,0.38533042006333607,-0.016249499865042538,-0.16451384480856424
1.3984400000000001,0.4330500440602062,0.38368528161525045,-0.016249499865042538,-0.16451384480856424
1.4084400000000001,0.43288754906155574,0.3820401431671648,-0.016249499865045314,-0.16451384480856424
1.4184400000000001,0.4327250540629053,0.38039500471907917,-0.016249499865042538,-0.16451384480856424
1.4284400000000002,0.4325625590642549,0.3787498662709935,-0.016249499865042538,-0.16451384480856424
1.4384400000000002,0.43240006406560444,0.3771047278229079,-0.016249499865045314,-0.16451384480856424
1.4484400000000002,0.432237569066954,0.3754595893748222,-0.016249499865042538,-0.16451384480856424
1.4584400000000002,0.4320750740683036,0.3738144509267366,-0.016249499865042538,-0.16451384480856424
1.4684400000000002,0.43191257906965314,0.3721693124786509,-0.016249499865042538,-0.164513844808567
1.4784400000000002,0.43175008407100274,0.37052417403056526,-0.016249499865042538,-0.16451384480856424
1.4884400000000002,0.4315875890723523,0.36887903558247964,-0.027367689251486804,-0.17908357441256684
1.4984400000000002,0.431202730285973,0.3669425025423139,-0.04035622825433738,-0.19610428656677836
1.5084400000000002,0.43078046450726554,0.3649569498511441,-0.04222657787074924,-0.1985552691169845
1.5184400000000002,0.430358198728558,0.36297139715997423,-0.04222657787074924,-0.1985552691169845
1.5284400000000002,0.42993593294985055,0.3609858444688044,-0.04222657787074646,-0.19855526911698174
1.5384400000000003,0.4295136671711431,0.3590002917776346,-0.04222657787074924,-0.19855526911698174
1.5484400000000003,0.42909140139243557,0.35701473908646475,-0.04222657787074924,-0.1985552691169845
1.5584400000000003,0.4286691356137281,0.3550291863952949,-0.04222657787074646,-0.1985552691169845
1.5684400000000003,0.42824686983502064,0.35304363370412506,-0.04222657787074924,-0.1985552691169845
1.5784400000000003,0.4278246040563131,0.3510580810129552,-0.04222657787074924,-0.1985552691169845
1.5884400000000003,0.42740233827760565,0.34907252832178537,-0.04222657787074924,-0.1985552691169845
1.5984400000000003,0.42698007249889813,0.3470869756306155,-0.04222657787074924,-0.1985552691169845
1.6084400000000003,0.42655780672019067,0.3451014229394457,-0.04222657787074646,-0.1985552691169845
1.6184400000000003,0.4261355409414832,0.34311587024827583,-0.048891958896835064,-0.19849421043060256
1.6284400000000003,0.42557996754225397,0.34113153873083363,-0.05879594259086962,-0.19840348429928378
1.6384400000000003,0.4249596220896658,0.33914780056229016,-0.06203454525881835,-0.1983738168543442
1.6484400000000003,0.4243392766370776,0.33716406239374674,-0.06203454525881835,-0.1983738168543414
1.6584400000000004,0.42371893118448944,0.33518032422520333,-0.06203454525881835,-0.1983738168543414
1.6684400000000004,0.42309858573190123,0.3331965860566599,-0.06203454525881835,-0.1983738168543414
1.6784400000000004,0.4224782402793131,0.3312128478881165,-0.06203454525881835,-0.1983738168543414
1.6884400000000004,0.42185789482672487,0.3292291097195731,-0.06203454525881835,-0.1983738168543414
1.6984400000000004,0.4212375493741367,0.3272453715510297,-0.06203454525881835,-0.1983738168543414
1.7084400000000004,0.4206172039215485,0.32526163338248626,-0.06203454525881835,-0.1983738168543414
1.7184400000000004,0.41999685846896034,0.32327789521394285,-0.06203454525881835,-0.1983738168543414
1.7284400000000004,0.41937651301637213,0.32129415704539943,-0.06203454525881835,-0.1983738168543414
1.7384400000000004,0.418756167563784,0.319310418876856,-0.06203454525881835,-0.1983738168543414
1.7484400000000004,0.41813582211119577,0.3173266807083126,-0.062103496828114224,-0.1979215209607088
1.7584400000000004,0.4175140976272217,0.31535198845764184,-0.06273032927624766,-0.1938097401095018
1.7684400000000005,0.4168812155256708,0.31345048590612257,-0.06328821015508801,-0.1901502551519274
1.7784400000000005,0.41624833342411993,0.3115489833546033,-0.06328821015508801,-0.1901502551519274
1.7884400000000005,0.41561545132256905,0.309647480803084,-0.06328821015508801,-0.1901502551519274
1.7984400000000005,0.41498256922101817,0.30774597825156474,-0.06328821015509078,-0.19015025515192463
1.8084400000000005,0.41434968711946724,0.3058444757000455,-0.06328821015509078,-0.19015025515192463
1.8184400000000005,0.41371680501791636,0.30394297314852625,-0.06328821015508801,-0.1901502551519274
1.8284400000000005,0.4130839229163655,0.302041470597007,-0.06328821015508801,-0.1901502551519274
1.8384400000000005,0.4124510408148146,0.3001399680454877,-0.06328821015508801,-0.1901502551519274
1.8484400000000005,0.4118181587132637,0.29823846549396843,-0.06328821015508801,-0.1901502551519274
1.8584400000000005,0.41118527661171284,0.29633696294244916,-0.06328821015509078,-0.1901502551519274
1.8684400000000005,0.4105523945101619,0.2944354603909299,-0.06328821015509078,-0.1901502551519274
1.8784400000000006,0.409919512408611,0.2925339578394106,-0.06328821015508801,-0.19015025515192463
1.8884400000000006,0.40928663030706014,0.2906324552878914,-0.06428763652216174,-0.18945402150312984
1.8984400000000006,0.4086337596781678,0.288744877409348,-0.06645089705695495,-0.1879470222633156
1.9084400000000006,0.40795761236592104,0.2868735148426251,-0.06761473122467165,-0.1871362566722906
1.9184400000000006,0.40728146505367435,0.2850021522759022,-0.06761473122467165,-0.1871362566722906
1.9284400000000006,0.4066053177414276,0.28313078970917926,-0.06761473122467443,-0.1871362566722934
1.9384400000000006,0.40592917042918086,0.28125942714245633,-0.06761473122467165,-0.1871362566722934
